_type,address,areacode,building_name,city,data_id,lat,listing_date,lng,locality,platform,property_type,sqft,status,txn_type
PurpleyoItem,"Park Site, Veer Savarkar Mark, Vikhroli West, Mumbai",400079,Kailas Business Park,Mumbai,880,19.109491,2016-04-14T10:06:08Z,72.92575,Vikhroli West,purpleyo,OFFICE AND RETAIL,740000,COMPLETED AND OPERATIONAL,SOLD OUT
PurpleyoItem,"Pahadi Village, Goregaon East, Mumbai",400063,Nirlon Knowledge Park - Block 4,Mumbai,918,19.155437,2016-01-22T13:24:24Z,72.85377,Goregaon East,purpleyo,OFFICE,500000,COMPLETED AND OPERATIONAL,LEASED OUT
PurpleyoItem,"Pahadi Village, Goregaon East, Mumbai",400063,Nirlon Knowledge Park - Block 5,Mumbai,919,19.155483,2016-01-22T13:24:54Z,72.85377,Goregaon East,purpleyo,OFFICE,500000,COMPLETED AND OPERATIONAL,LEASED OUT
PurpleyoItem,"Pahadi Village, Goregaon East, Mumbai",400063,Nirlon Knowledge Park - Block 6,Mumbai,920,19.155506,2016-01-22T13:25:33Z,72.85372,Goregaon East,purpleyo,OFFICE,306000,COMPLETED AND OPERATIONAL,LEASED OUT
PurpleyoItem,"Ganpatrao Kadam Marg, Lower Parel-West, Mumbai",400013,Marathon Nextgen Icon,Mumbai,921,18.997326,2016-02-25T10:09:57Z,72.824524,Lower Parel,purpleyo,OFFICE,288000,COMPLETED AND OPERATIONAL,LEASED OUT
PurpleyoItem,"Gut 31, Thane Belpur Road, MIDC, Airoli, Navi Mumbai",400708,Empire Tower,Navi Mumbai,943,19.171516,2016-04-29T12:16:57Z,73.00133,Airoli,purpleyo,OFFICE,0,NEARING COMPLETION,NA
PurpleyoItem,"Thane Belapur Road, MIDC, Dighe, Navi Mumbai",400708,Liberty Tower,Navi Mumbai,944,19.169136,2016-01-29T11:10:22Z,73.00035,Dighe,purpleyo,OFFICE,329000,COMPLETED AND OPERATIONAL,LEASED OUT
PurpleyoItem,"Gut 31, Airoli, Thane Belapur Road, MIDC, Navi Mumbai",400708,Reliable Plaza,Navi Mumbai,945,19.169748,2016-01-29T11:07:49Z,72.9997,Airoli,purpleyo,OFFICE,222250,COMPLETED AND OPERATIONAL,LEASED OUT
PurpleyoItem,"Gut 31, Airoli, Thane Belapur Road, MIDC, Navi Mumbai",400708,Reliable Tech Park,Navi Mumbai,946,19.17017,2016-01-29T11:27:28Z,73.00157,Airoli,purpleyo,OFFICE,960000,COMPLETED AND OPERATIONAL,LEASE
PurpleyoItem,"NM Joshi Marg, Lower Parel, Mumbai",400013,Marathon Futurex,Mumbai,949,18.994741,2016-03-03T06:29:31Z,72.830734,Lower Parel,purpleyo,OFFICE,1525000,COMPLETED AND OPERATIONAL,LEASE/SALE
PurpleyoItem,"LBS Marg, Kurla West, Mumbai",400070,Phoenix Paragon Plaza,Mumbai,951,19.085436,2016-01-20T09:12:09Z,72.888794,Kurla West,purpleyo,OFFICE AND RETAIL,456000,COMPLETED AND OPERATIONAL,LEASE/SALE
PurpleyoItem,"LBS Marg, Kurla West, Mumbai",400070,Phoenix Art Guild House,Mumbai,952,19.086037,2016-02-25T12:21:31Z,72.890205,Kurla West,purpleyo,OFFICE,781998,COMPLETED AND OPERATIONAL,LEASE/SALE
PurpleyoItem,"# 102, Azad Nagar, Andheri East, Mumbai",400053,78 W. Expressway,Mumbai,956,19.117983,2016-01-25T10:47:03Z,72.854836,Andheri East,purpleyo,OFFICE AND RETAIL,1360000,COMPLETED AND OPERATIONAL,LEASED OUT
PurpleyoItem,"Mathuradas Vassanji Road, Sakinaka, Mumbai",400072,Raiaskaran Tech Park - Tower 1,Mumbai,980,19.1032,2016-06-02T12:44:38Z,72.8847,Sakinaka,purpleyo,OFFICE,456000,COMPLETED AND OPERATIONAL,LEASED OUT
